WARNING:imageio:Lossy conversion from float64 to uint8. Range [0, 1]. Convert image to uint8 prior to saving to suppress this warning.
INFO:root:Epoch:[1]-[7/52] --> d_loss: 0.009, g_loss:0.102, g_recon_loss:0.102
INFO:root:Epoch:[1]-[8/52] --> d_loss: 10.711, g_loss:1.053, g_recon_loss:1.053
INFO:root:Epoch:[1]-[9/52] --> d_loss: 6.120, g_loss:0.982, g_recon_loss:0.982
INFO:root:Epoch:[1]-[10/52] --> d_loss: 2.213, g_loss:2.077, g_recon_loss:2.077
INFO:root:Epoch:[1]-[11/52] --> d_loss: 3.409, g_loss:1.282, g_recon_loss:1.282
INFO:root:Epoch:[1]-[12/52] --> d_loss: 2.921, g_loss:1.154, g_recon_loss:1.154
INFO:root:Epoch:[1]-[13/52] --> d_loss: 2.313, g_loss:0.563, g_recon_loss:0.563
INFO:root:Epoch:[1]-[14/52] --> d_loss: 2.272, g_loss:0.951, g_recon_loss:0.951
INFO:root:Epoch:[1]-[15/52] --> d_loss: 2.071, g_loss:1.174, g_recon_loss:1.174
INFO:root:Epoch:[1]-[16/52] --> d_loss: 1.875, g_loss:1.021, g_recon_loss:1.021
INFO:root:Epoch:[1]-[17/52] --> d_loss: 1.784, g_loss:0.974, g_recon_loss:0.974
INFO:root:Epoch:[1]-[18/52] --> d_loss: 1.464, g_loss:1.099, g_recon_loss:1.099
INFO:root:Epoch:[1]-[19/52] --> d_loss: 1.721, g_loss:0.820, g_recon_loss:0.820
INFO:root:Epoch:[1]-[20/52] --> d_loss: 2.026, g_loss:1.618, g_recon_loss:1.618
INFO:root:Epoch:[1]-[21/52] --> d_loss: 2.823, g_loss:1.394, g_recon_loss:1.394
INFO:root:Epoch:[1]-[22/52] --> d_loss: 1.667, g_loss:1.182, g_recon_loss:1.182
INFO:root:Epoch:[1]-[23/52] --> d_loss: 2.142, g_loss:0.947, g_recon_loss:0.947
INFO:root:Epoch:[1]-[24/52] --> d_loss: 1.902, g_loss:0.984, g_recon_loss:0.984
INFO:root:Epoch:[1]-[25/52] --> d_loss: 2.188, g_loss:0.838, g_recon_loss:0.838
INFO:root:Epoch:[1]-[26/52] --> d_loss: 1.501, g_loss:0.961, g_recon_loss:0.961
INFO:root:Epoch:[1]-[27/52] --> d_loss: 1.682, g_loss:1.116, g_recon_loss:1.116
INFO:root:Epoch:[1]-[28/52] --> d_loss: 1.661, g_loss:2.167, g_recon_loss:2.167
INFO:root:Epoch:[1]-[29/52] --> d_loss: 2.427, g_loss:0.864, g_recon_loss:0.864
INFO:root:Epoch:[1]-[30/52] --> d_loss: 1.871, g_loss:0.921, g_recon_loss:0.921
INFO:root:Epoch:[1]-[31/52] --> d_loss: 2.506, g_loss:1.209, g_recon_loss:1.209
INFO:root:Epoch:[1]-[32/52] --> d_loss: 1.862, g_loss:1.010, g_recon_loss:1.010
INFO:root:Epoch:[1]-[33/52] --> d_loss: 1.768, g_loss:0.919, g_recon_loss:0.919
INFO:root:Epoch:[1]-[34/52] --> d_loss: 1.734, g_loss:0.778, g_recon_loss:0.778
INFO:root:Epoch:[1]-[35/52] --> d_loss: 1.769, g_loss:0.893, g_recon_loss:0.893
INFO:root:Epoch:[1]-[36/52] --> d_loss: 1.577, g_loss:0.676, g_recon_loss:0.676
INFO:root:Epoch:[1]-[37/52] --> d_loss: 1.924, g_loss:1.222, g_recon_loss:1.222
INFO:root:Epoch:[1]-[38/52] --> d_loss: 1.993, g_loss:0.689, g_recon_loss:0.689
INFO:root:Epoch:[1]-[39/52] --> d_loss: 1.816, g_loss:0.825, g_recon_loss:0.825
INFO:root:Epoch:[1]-[40/52] --> d_loss: 1.651, g_loss:0.756, g_recon_loss:0.756
INFO:root:Epoch:[1]-[41/52] --> d_loss: 1.672, g_loss:1.061, g_recon_loss:1.061
INFO:root:Epoch:[1]-[42/52] --> d_loss: 2.151, g_loss:0.666, g_recon_loss:0.666
INFO:root:Epoch:[1]-[43/52] --> d_loss: 1.553, g_loss:0.665, g_recon_loss:0.665
INFO:root:Epoch:[1]-[44/52] --> d_loss: 1.189, g_loss:0.589, g_recon_loss:0.589
INFO:root:Epoch:[1]-[45/52] --> d_loss: 1.588, g_loss:1.027, g_recon_loss:1.027
INFO:root:Epoch:[1]-[46/52] --> d_loss: 2.724, g_loss:0.811, g_recon_loss:0.811
INFO:root:Epoch:[1]-[47/52] --> d_loss: 1.447, g_loss:0.836, g_recon_loss:0.836
INFO:root:Epoch:[1]-[48/52] --> d_loss: 1.448, g_loss:0.701, g_recon_loss:0.701
INFO:root:Epoch:[1]-[49/52] --> d_loss: 1.829, g_loss:1.229, g_recon_loss:1.229
INFO:root:Epoch:[1]-[50/52] --> d_loss: 2.080, g_loss:0.769, g_recon_loss:0.769
INFO:root:Epoch:[1]-[51/52] --> d_loss: 1.798, g_loss:0.869, g_recon_loss:0.869
INFO:root:Epoch:[2]-[0/52] --> d_loss: 1.825, g_loss:0.795, g_recon_loss:0.795
INFO:root:Epoch:[2]-[1/52] --> d_loss: 1.847, g_loss:0.918, g_recon_loss:0.918
INFO:root:Epoch:[2]-[2/52] --> d_loss: 1.855, g_loss:0.913, g_recon_loss:0.913
INFO:root:Epoch:[2]-[3/52] --> d_loss: 1.803, g_loss:0.933, g_recon_loss:0.933
INFO:root:Epoch:[2]-[4/52] --> d_loss: 1.796, g_loss:0.946, g_recon_loss:0.946
INFO:root:Epoch:[2]-[5/52] --> d_loss: 1.693, g_loss:0.985, g_recon_loss:0.985
INFO:root:Epoch:[2]-[6/52] --> d_loss: 1.660, g_loss:0.970, g_recon_loss:0.970
INFO:root:Epoch:[2]-[7/52] --> d_loss: 1.677, g_loss:1.025, g_recon_loss:1.025
INFO:root:Epoch:[2]-[8/52] --> d_loss: 1.785, g_loss:1.010, g_recon_loss:1.010
INFO:root:Epoch:[2]-[9/52] --> d_loss: 1.590, g_loss:0.992, g_recon_loss:0.992
INFO:root:Epoch:[2]-[10/52] --> d_loss: 1.435, g_loss:0.826, g_recon_loss:0.826
INFO:root:Epoch:[2]-[11/52] --> d_loss: 3.191, g_loss:2.508, g_recon_loss:2.508
INFO:root:Epoch:[2]-[12/52] --> d_loss: 2.343, g_loss:0.565, g_recon_loss:0.565
INFO:root:Epoch:[2]-[13/52] --> d_loss: 2.946, g_loss:1.922, g_recon_loss:1.922
INFO:root:Epoch:[2]-[14/52] --> d_loss: 2.084, g_loss:3.263, g_recon_loss:3.263
